epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1330.29,1.55697,1.18666,0.96603,0.32908,0.2635,0.24876,0.14496,1.34661,1.03145,0.92763,0.000424187,0.000424187,0.000424187
43,1362.43,1.54759,1.17598,0.96777,0.43067,0.26603,0.25224,0.14759,1.34228,1.03119,0.92661,0.000417119,0.000417119,0.000417119
44,1394.4,1.53904,1.17457,0.97149,0.33563,0.26413,0.25221,0.14826,1.33207,1.02593,0.92385,0.00041005,0.00041005,0.00041005
45,1425.95,1.5315,1.16732,0.96603,0.33055,0.25975,0.24756,0.14395,1.36042,1.041,0.92859,0.000402982,0.000402982,0.000402982
46,1458,1.54184,1.16996,0.96877,0.42264,0.27392,0.25273,0.14721,1.34089,1.02775,0.92575,0.000395913,0.000395913,0.000395913
47,1490.15,1.54726,1.17053,0.96216,0.45252,0.26525,0.25636,0.14966,1.33399,1.01997,0.92388,0.000388844,0.000388844,0.000388844
48,1522.27,1.51982,1.1492,0.96603,0.35114,0.26904,0.2572,0.14989,1.34146,1.01756,0.92439,0.000381776,0.000381776,0.000381776
49,1553.94,1.53223,1.15538,0.96191,0.33865,0.2723,0.25733,0.15098,1.3289,1.01595,0.92283,0.000374707,0.000374707,0.000374707
50,1586.6,1.53569,1.16023,0.96255,0.34514,0.26942,0.25987,0.15285,1.32662,1.00453,0.92246,0.000367639,0.000367639,0.000367639
51,1618.39,1.51753,1.13977,0.95964,0.38212,0.27761,0.26397,0.15455,1.31982,0.99929,0.92193,0.00036057,0.00036057,0.00036057
52,1650.35,1.51605,1.13917,0.95894,0.33805,0.27089,0.25979,0.15179,1.32623,1.00182,0.92234,0.000353501,0.000353501,0.000353501
53,1682.65,1.52179,1.14904,0.96238,0.33216,0.27523,0.25908,0.15137,1.33307,1.00839,0.92385,0.000346433,0.000346433,0.000346433
54,1715.91,1.5069,1.13816,0.96673,0.34447,0.26651,0.26114,0.15347,1.32313,1.00497,0.92064,0.000339364,0.000339364,0.000339364
55,1754.94,1.49377,1.12859,0.96432,0.34621,0.2608,0.25793,0.15273,1.32075,1.01006,0.92137,0.000332296,0.000332296,0.000332296
56,1787.44,1.5047,1.12631,0.95904,0.37575,0.26538,0.25801,0.15134,1.32732,1.00425,0.92061,0.000325227,0.000325227,0.000325227
57,1820.15,1.50898,1.13075,0.9621,0.34361,0.2754,0.2681,0.15745,1.31488,0.99221,0.91983,0.000318158,0.000318158,0.000318158
58,1852.84,1.51177,1.12632,0.95603,0.34376,0.27765,0.26497,0.15537,1.31929,0.99295,0.92012,0.00031109,0.00031109,0.00031109
59,1885.5,1.50035,1.12242,0.95703,0.35353,0.27203,0.26626,0.15747,1.31377,0.9882,0.91841,0.000304021,0.000304021,0.000304021
60,1917.28,1.50617,1.11696,0.95331,0.37534,0.27542,0.26816,0.15757,1.31433,0.98927,0.91849,0.000296953,0.000296953,0.000296953
61,1949.55,1.51189,1.1255,0.95482,0.36572,0.2786,0.27154,0.16022,1.30799,0.9842,0.91845,0.000289884,0.000289884,0.000289884
62,1981.81,1.50167,1.12164,0.95264,0.34945,0.27891,0.26827,0.15715,1.31369,0.99072,0.91903,0.000282815,0.000282815,0.000282815
63,2014.68,1.50096,1.12174,0.95865,0.35343,0.28774,0.27191,0.15957,1.30564,0.98698,0.91747,0.000275747,0.000275747,0.000275747
64,2046.91,1.51366,1.12052,0.95497,0.35088,0.28937,0.27617,0.16198,1.30727,0.97883,0.917,0.000268678,0.000268678,0.000268678
65,2079.61,1.49425,1.11184,0.95729,0.36502,0.27785,0.2714,0.15904,1.31016,0.98061,0.91713,0.00026161,0.00026161,0.00026161
66,2112.59,1.50397,1.11572,0.95326,0.37013,0.28274,0.27197,0.16023,1.30409,0.97743,0.91508,0.000254541,0.000254541,0.000254541
67,2145.13,1.49805,1.10978,0.95083,0.37495,0.28124,0.27174,0.15952,1.30696,0.97858,0.91676,0.000247472,0.000247472,0.000247472
